step,timestamp,vehicle_count,cluster_count,noise_count,cluster_head_count,trusted_count,unknown_count,malicious_count,emergency_messages,delivered_messages,forwarded,duplicates,routing_hops,auth_success,auth_failures,pdr,avg_delay_ms,broadcast_overhead,ch_changes,throughput_kbps,auth_success_rate,avg_legitimate_trust,avg_malicious_trust,avg_cluster_lifetime,ch_change_rate,avg_intra_cluster_connectivity,cluster_stability_score,recluster_count,reclustering_skipped_count,bls_sign_time_ms,bls_individual_verify_time_ms,bls_batch_verify_time_ms,bls_batch_avg_size,bls_signature_size_bytes,bls_verifications_total,bls_batches_total,bls_auth_success,bls_auth_failures
66,1787553032.7801304,162,22,13,22,3,159,0,1,0,4,14,10,0,0,0.0,0.0,4.0,157,0.0,100.0,0.61,0.6,8.69,0.0318,0.98,0.9764,19,48,139.012,0.0,0.0,0.0,96,0,0,0,0
67,1787553032.8180945,164,22,15,22,3,161,0,1,0,4,14,10,0,0,0.0,0.0,4.0,157,0.0,100.0,0.61,0.6,8.9,0.0318,0.9722,0.971,19,49,139.012,0.0,0.0,0.0,96,0,0,0,0
68,1787553032.942488,168,20,6,20,3,165,0,1,0,4,14,10,0,0,0.0,0.0,4.0,169,0.0,100.0,0.61,0.6,8.53,0.025,0.9144,0.9326,20,49,139.012,0.0,0.0,0.0,96,0,0,0,0
69,1787553032.9818094,171,20,9,20,3,168,0,1,0,4,14,10,0,0,0.0,0.0,4.0,169,0.0,100.0,0.61,0.6,8.7,0.025,0.9176,0.9348,20,50,139.012,0.0,0.0,0.0,96,0,0,0,0
70,1787553033.0209675,175,20,13,20,3,172,0,1,0,4,14,10,0,0,0.0,0.0,4.0,169,0.0,100.0,0.61,0.6,8.88,0.025,0.9217,0.9377,20,51,139.012,0.0,0.0,0.0,96,0,0,0,0
71,1787553033.0617068,177,20,15,20,3,174,0,1,0,4,14,10,0,0,0.0,0.0,4.0,169,0.0,100.0,0.61,0.6,9.05,0.025,0.9131,0.9317,20,52,139.012,0.0,0.0,0.0,96,0,0,0,0
72,1787553033.101111,181,20,19,20,3,178,0,1,0,4,14,10,0,0,0.0,0.0,4.0,169,0.0,100.0,0.61,0.6,9.23,0.025,0.918,0.9351,20,53,139.012,0.0,0.0,0.0,96,0,0,0,0
73,1787553033.2403557,183,19,2,19,3,180,0,1,0,4,14,10,0,0,0.0,0.0,4.0,187,0.0,100.0,0.61,0.6,8.93,0.0368,0.881,0.9057,21,53,139.012,0.0,0.0,0.0,96,0,0,0,0
74,1787553033.2853653,186,19,5,19,3,183,0,1,0,4,14,10,0,0,0.0,0.0,4.0,187,0.0,100.0,0.61,0.6,9.08,0.0368,0.8822,0.9065,21,54,139.012,0.0,0.0,0.0,96,0,0,0,0
75,1787553033.3278246,188,19,7,19,3,185,0,1,0,4,14,10,0,0,0.0,0.0,4.0,187,0.0,100.0,0.61,0.6,9.24,0.0368,0.8782,0.9037,21,55,139.012,0.0,0.0,0.0,96,0,0,0,0
76,1787553033.3781955,191,19,10,19,3,188,0,1,0,4,14,10,0,0,0.0,0.0,4.0,187,0.0,100.0,0.61,0.6,9.4,0.0368,0.8682,0.8967,21,56,139.012,0.0,0.0,0.0,96,0,0,0,0
77,1787553033.4317622,193,19,12,19,3,190,0,1,0,4,14,10,0,0,0.0,0.0,4.0,187,0.0,100.0,0.61,0.6,9.56,0.0368,0.8516,0.8851,21,57,139.012,0.0,0.0,0.0,96,0,0,0,0
78,1787553033.5946863,196,19,5,19,3,193,0,1,0,4,14,10,0,0,0.0,0.0,4.0,198,0.0,100.0,0.61,0.6,8.9,0.0368,0.942,0.9484,22,57,139.012,0.0,0.0,0.0,96,0,0,0,0
79,1787553033.6387072,198,19,7,19,3,195,0,1,0,4,14,10,0,0,0.0,0.0,4.0,198,0.0,100.0,0.61,0.6,9.05,0.0368,0.9388,0.9461,22,58,139.012,0.0,0.0,0.0,96,0,0,0,0
80,1787553033.6818428,200,19,9,19,3,197,0,1,0,4,14,10,0,0,0.0,0.0,4.0,198,0.0,100.0,0.61,0.6,9.19,0.0368,0.9237,0.9355,22,59,139.012,0.0,0.0,0.0,96,0,0,0,0
81,1787553033.7274663,203,19,12,19,3,200,0,1,0,4,14,10,0,0,0.0,0.0,4.0,198,0.0,100.0,0.61,0.6,9.34,0.0368,0.9188,0.9321,22,60,139.012,0.0,0.0,0.0,96,0,0,0,0
82,1787553033.7728693,206,19,15,19,3,203,0,1,0,4,14,10,0,0,0.0,0.0,4.0,198,0.0,100.0,0.61,0.6,9.48,0.0368,0.9097,0.9257,22,61,139.012,0.0,0.0,0.0,96,0,0,0,0
83,1787553033.9340942,208,19,4,19,3,205,0,1,0,4,14,10,0,0,0.0,0.0,4.0,210,0.0,100.0,0.61,0.6,9.01,0.0158,0.904,0.928,23,61,139.012,0.0,0.0,0.0,96,0,0,0,0
84,1787553033.9794607,209,19,5,19,3,206,0,1,0,4,14,10,0,0,0.0,0.0,4.0,210,0.0,100.0,0.61,0.6,9.14,0.0158,0.9087,0.9314,23,62,139.012,0.0,0.0,0.0,96,0,0,0,0
85,1787553034.0250573,211,19,7,19,3,208,0,1,0,4,14,10,0,0,0.0,0.0,4.0,210,0.0,100.0,0.61,0.6,9.28,0.0158,0.9092,0.9317,23,63,139.012,0.0,0.0,0.0,96,0,0,0,0
86,1787553034.0747213,214,19,10,19,3,211,0,1,0,4,14,10,0,0,0.0,0.0,4.0,210,0.0,100.0,0.61,0.6,9.41,0.0158,0.9093,0.9318,23,64,139.012,0.0,0.0,0.0,96,0,0,0,0
87,1787553034.124115,216,19,12,19,3,213,0,1,0,4,14,10,0,0,0.0,0.0,4.0,210,0.0,100.0,0.61,0.6,9.55,0.0158,0.9087,0.9313,23,65,139.012,0.0,0.0,0.0,96,0,0,0,0
88,1787553034.3048618,219,21,4,21,3,216,0,1,0,4,14,10,0,0,0.0,0.0,4.0,225,0.0,100.0,0.61,0.6,9.3,0.0238,0.9471,0.9558,24,65,139.012,0.0,0.0,0.0,96,0,0,0,0
89,1787553034.3626473,222,21,7,21,3,219,0,1,0,4,14,10,0,0,0.0,0.0,4.0,225,0.0,100.0,0.61,0.6,9.45,0.0238,0.9465,0.9554,24,66,139.012,0.0,0.0,0.0,96,0,0,0,0
90,1787553034.4213095,226,21,11,21,3,223,0,1,0,4,14,10,0,0,0.0,0.0,4.0,225,0.0,100.0,0.61,0.6,9.59,0.0238,0.9434,0.9533,24,67,139.012,0.0,0.0,0.0,96,0,0,0,0
91,1787553034.5204048,228,21,13,21,3,225,0,1,0,4,14,10,0,0,0.0,0.0,4.0,225,0.0,100.0,0.61,0.6,9.73,0.0238,0.9402,0.951,24,68,139.012,0.0,0.0,0.0,96,0,0,0,0
92,1787553034.5803952,230,21,15,21,3,227,0,1,0,4,14,10,0,0,0.0,0.0,4.0,225,0.0,100.0,0.61,0.6,9.88,0.0238,0.9363,0.9483,24,69,139.012,0.0,0.0,0.0,96,0,0,0,0
93,1787553034.9027562,232,19,8,19,3,229,0,1,0,4,14,10,0,0,0.0,0.0,4.0,243,0.0,100.0,0.61,0.6,9.49,0.0684,0.9348,0.9338,25,69,139.012,0.0,0.0,0.0,96,0,0,0,0
94,1787553034.9637685,234,19,10,19,3,231,0,1,0,4,14,10,0,0,0.0,0.0,4.0,243,0.0,100.0,0.61,0.6,9.61,0.0684,0.9318,0.9317,25,70,139.012,0.0,0.0,0.0,96,0,0,0,0
95,1787553035.024936,237,19,13,19,3,234,0,1,0,4,14,10,0,0,0.0,0.0,4.0,243,0.0,100.0,0.61,0.6,9.73,0.0684,0.9284,0.9293,25,71,139.012,0.0,0.0,0.0,96,0,0,0,0
96,1787553035.086295,239,19,15,19,3,236,0,1,0,4,14,10,0,0,0.0,0.0,4.0,243,0.0,100.0,0.61,0.6,9.86,0.0684,0.9233,0.9258,25,72,139.012,0.0,0.0,0.0,96,0,0,0,0
97,1787553035.331297,241,19,17,19,3,238,0,1,0,4,14,10,0,0,0.0,0.0,4.0,243,0.0,100.0,0.61,0.6,9.98,0.0684,0.9093,0.916,25,73,139.012,0.0,0.0,0.0,96,0,0,0,0
98,1787553035.6576447,245,15,4,15,3,242,0,1,0,4,14,10,0,0,0.0,0.0,4.0,257,0.0,100.0,0.61,0.6,9.64,0.1067,0.7651,0.8036,26,73,139.012,0.0,0.0,0.0,96,0,0,0,0
99,1787553035.7127225,247,15,6,15,3,244,0,1,0,4,14,10,0,0,0.0,0.0,4.0,257,0.0,100.0,0.61,0.6,9.73,0.1067,0.7633,0.8023,26,74,139.012,0.0,0.0,0.0,96,0,0,0,0
100,1787553035.7706866,249,15,8,15,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,257,0.0,100.0,0.61,0.6,9.83,0.1067,0.7552,0.7966,26,75,139.012,0.0,0.0,0.0,96,0,0,0,0
101,1787553035.8636682,249,15,8,15,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,257,0.0,100.0,0.61,0.6,9.92,0.1067,0.7436,0.7885,26,76,139.012,0.0,0.0,0.0,96,0,0,0,0
102,1787553035.9220061,249,15,8,15,3,246,0,1,0,4,14,10,0,0,0.0,0.0,4.0,257,0.0,100.0,0.61,0.6,10.01,0.1067,0.7223,0.7736,26,77,139.012,0.0,0.0,0.0,96,0,0,0,0
103,1787553036.2747712,250,9,4,9,3,247,0,1,0,4,14,10,0,0,0.0,0.0,4.0,265,0.0,100.0,0.61,0.6,9.59,0.0667,0.6797,0.7558,27,77,139.012,0.0,0.0,0.0,96,0,0,0,0
104,1787553036.3554387,250,9,4,9,3,247,0,1,0,4,14,10,0,0,0.0,0.0,4.0,265,0.0,100.0,0.61,0.6,9.64,0.0667,0.6826,0.7578,27,78,139.012,0.0,0.0,0.0,96,0,0,0,0
105,1787553036.4244137,250,9,4,9,3,247,0,1,0,4,14,10,0,0,0.0,0.0,4.0,265,0.0,100.0,0.61,0.6,9.7,0.0667,0.6977,0.7684,27,79,139.012,0.0,0.0,0.0,96,0,0,0,0
106,1787553036.4940684,250,9,4,9,3,247,0,1,0,4,14,10,0,0,0.0,0.0,4.0,265,0.0,100.0,0.61,0.6,9.75,0.0667,0.6985,0.7689,27,80,139.012,0.0,0.0,0.0,96,0,0,0,0
107,1787553036.5592425,250,9,4,9,3,247,0,1,0,4,14,10,0,0,0.0,0.0,4.0,265,0.0,100.0,0.61,0.6,9.8,0.0667,0.6905,0.7633,27,81,139.012,0.0,0.0,0.0,96,0,0,0,0
